X,Y,Z,T,M
76.14768,21.44165,69.60949,3827.02,0.83633107
55.62481,15.67321,8.00892,3827.02,0.4400541
67.32824,18.99631,76.01402,3827.02,1.3893768
120.62606,34.04473,-10.60503,3827.02,-0.09816436
93.74684,26.57013,-55.18644,3827.02,1.0342573
215.3485,61.36069,405.20932,3827.02,-2.4077313
54.4286,15.55985,1.35081,3827.02,2.2949536
177.84776,51.03045,241.14828,3827.02,-1.4240205
36.67232,10.57206,70.52802,3827.02,1.3093323
35.04786,10.1259,20.77407,3827.02,3.0847087
127.10026,36.77181,-87.68477,3827.02,0.43670276
211.39928,61.49419,21.80548,3827.02,-0.6943078
50.73662,14.8098,14.10878,3827.02,1.949881
89.29885,26.28843,-16.37914,3827.02,1.2124283
65.29865,19.24386,26.7788,3827.02,1.0088426
60.84974,17.93635,24.94481,3827.02,1.3821505
43.69111,12.90465,3.91255,3827.02,3.049244
39.93187,11.84449,-44.22807,3827.02,-0.59785086
172.3744,51.12958,-31.18367,3827.02,-0.7260972
94.07425,27.92359,-43.67507,3827.02,0.9647484
144.87772,43.04307,95.10779,3827.02,0.020940134
104.79587,31.32084,25.16299,3827.02,0.8893885
50.91981,15.32542,81.68171,3827.02,1.4657367
237.2882,71.59336,334.93253,3827.02,-1.7889438
62.64781,18.91884,-29.13158,3827.02,2.084427
38.75692,11.72162,-75.43658,3827.02,0.6972142
44.95381,13.69415,-8.10499,3827.02,2.3179922
43.48106,13.25141,-40.19716,3827.02,1.2947861
44.21131,13.50659,17.50453,3827.02,2.0899794
44.39082,13.57015,1.61618,3827.02,3.10522
41.45493,12.67641,41.77801,3827.02,1.1418482
33.96995,10.38891,22.20778,3827.02,3.119262
4.14948,1.27288,6.18121,3827.02,5.77944
34.16611,10.50636,3.53646,3827.02,2.7333462
46.72963,14.37241,-70.46359,3827.02,-0.72650725
87.41808,26.95907,147.90886,3827.02,-0.43166077
33.91645,10.46448,-6.37483,3827.02,0.6747494
5.9794,1.8491,95.67277,3827.02,-0.66857845
23.75893,7.40063,141.29742,3827.02,0.45616388
146.25864,45.76602,165.73943,3827.02,-2.5079813
47.40547,14.8855,35.60015,3827.02,-1.8610835
111.04471,34.91644,41.5836,3827.02,0.10974261
64.50848,20.3775,-106.98825,3827.02,0.8981355
156.92506,49.62171,46.18172,3827.02,-0.09422067
105.36463,33.3221,-17.31706,3827.02,1.1566876
37.27786,11.80986,35.31022,3827.02,2.061481
95.00292,30.1021,47.44481,3827.02,0.595641
262.28986,83.40393,11.75556,3827.02,-1.2304668
33.61656,10.70489,90.85664,3827.02,0.3757368
22.93101,7.35118,34.58282,3827.02,1.2164887
139.61777,44.76782,89.58393,3827.02,-1.025385
211.5539,67.89349,171.87086,3827.02,-1.44275
52.03826,16.7641,113.10797,3827.02,0.06456534
